# Polymarket Smart Money Index (PSMI) — daily close values
# Source: Polycopy (https://polycopy.app/polymarket-smart-money-index)
# Cite as: Polycopy's Polymarket Smart Money Index (PSMI), methodology 2.0.0
# Weights: momentum 30 / breadth 25 / participation 25 / conviction 20
# is_backfill=true marks values reconstructed from warehouse history rather than captured live.
# Local record; rows are never rewritten (appended by scripts/fetch-psmi-history.py).
# Last refresh: 2026-09-24T09:20:15
# Local record; rows are never rewritten (appended by scripts/fetch-psmi-history.py).
# Last refresh: 2026-09-25T09:20:15
date,score,zone,momentum,breadth,participation,conviction,methodology_version,is_backfill
2026-07-28,32,WATCHING,32,54,27,13,2.0.0,false
2026-07-29,30,WATCHING,31,55,19,11,2.0.0,false
2026-07-30,32,WATCHING,33,56,21,13,2.0.0,false
2026-07-31,34,WATCHING,36,62,22,13,2.0.0,false
2026-08-01,34,WATCHING,39,75,9,8,2.0.0,false
2026-08-02,32,WATCHING,37,72,5,8,2.0.0,false
2026-08-03,31,WATCHING,37,70,3,9,2.0.0,false
2026-08-04,41,WATCHING,44,68,29,20,2.0.0,false
2026-08-05,43,WATCHING,44,66,36,19,2.0.0,false
2026-08-06,46,WATCHING,44,67,48,22,2.0.0,false
2026-08-07,46,WATCHING,42,68,48,21,2.0.0,false
2026-08-08,43,WATCHING,43,67,37,19,2.0.0,false
2026-08-09,42,WATCHING,41,66,37,19,2.0.0,false
2026-08-10,42,WATCHING,41,67,37,20,2.0.0,false
2026-08-11,41,WATCHING,39,66,36,19,2.0.0,false
2026-08-12,38,WATCHING,38,66,31,13,2.0.0,false
2026-08-13,44,WATCHING,42,65,47,18,2.0.0,false
2026-08-14,45,WATCHING,42,66,47,19,2.0.0,false
2026-08-15,47,WATCHING,43,67,49,24,2.0.0,false
2026-08-16,50,WATCHING,50,67,49,28,2.0.0,false
2026-08-17,51,WATCHING,50,68,50,30,2.0.0,false
2026-08-18,53,WATCHING,59,71,48,28,2.0.0,false
2026-08-19,52,WATCHING,56,70,50,26,2.0.0,false
2026-08-20,53,WATCHING,55,69,54,29,2.0.0,false
2026-08-21,52,WATCHING,51,66,57,32,2.0.0,false
2026-08-22,51,WATCHING,43,63,60,35,2.0.0,false
2026-08-23,46,WATCHING,31,59,61,34,2.0.0,false
2026-08-24,46,WATCHING,28,58,62,36,2.0.0,false
2026-08-25,69,ACTIVE,93,71,60,42,2.0.0,false
2026-08-26,65,ACTIVE,91,70,55,31,2.0.0,false
2026-08-27,65,ACTIVE,84,70,62,36,2.0.0,false
2026-08-28,68,ACTIVE,88,73,62,38,2.0.0,false
2026-08-29,65,ACTIVE,83,72,57,38,2.0.0,false
2026-08-30,68,ACTIVE,88,72,60,43,2.0.0,false
2026-08-31,68,ACTIVE,93,73,56,38,2.0.0,false
2026-09-01,69,ACTIVE,95,74,55,43,2.0.0,false
2026-09-02,68,ACTIVE,94,76,50,40,2.0.0,false
2026-09-03,66,ACTIVE,94,75,46,36,2.0.0,false
2026-09-04,62,ACTIVE,92,74,40,27,2.0.0,false
2026-09-05,59,ACTIVE,86,74,37,26,2.0.0,false
2026-09-06,55,ACTIVE,79,75,32,22,2.0.0,false
2026-09-07,52,WATCHING,75,74,28,20,2.0.0,false
2026-09-08,53,WATCHING,82,73,22,21,2.0.0,false
2026-09-09,51,WATCHING,74,72,21,26,2.0.0,false
2026-09-10,48,WATCHING,65,72,20,26,2.0.0,false
2026-09-11,54,WATCHING,69,69,41,28,2.0.0,false
2026-09-12,50,WATCHING,66,70,39,14,2.0.0,false
2026-09-13,44,WATCHING,52,67,36,12,2.0.0,false
2026-09-14,52,WATCHING,51,71,45,39,2.0.0,false
2026-09-15,60,ACTIVE,78,71,43,39,2.0.0,false
2026-09-16,65,ACTIVE,91,72,42,45,2.0.0,false
2026-09-17,63,ACTIVE,90,71,40,43,2.0.0,false
2026-09-18,62,ACTIVE,84,71,40,43,2.0.0,false
2026-09-19,63,ACTIVE,90,76,32,46,2.0.0,false
2026-09-20,65,ACTIVE,92,74,34,52,2.0.0,false
2026-09-21,73,ACTIVE,94,75,42,77,2.0.0,false
2026-09-22,65,ACTIVE,93,77,32,50,2.0.0,false
2026-09-23,58,ACTIVE,70,73,33,51,2.0.0,false
2026-09-24,56,ACTIVE,66,73,33,49,2.0.0,false
